dteday,season,hr,holiday,workingday,weathersit,casual,registered,cnt,season_cat
2011-01-01,1,0,0,0,1,3,13,16,springer
2011-01-01,1,1,0,0,1,8,32,40,springer
2011-01-01,1,2,0,0,1,5,27,32,springer
2011-01-01,1,3,0,0,1,3,10,13,springer
2011-01-01,1,4,0,0,1,0,1,1,springer
2011-01-01,1,5,0,0,2,0,1,1,springer
2011-01-01,1,6,0,0,1,2,0,2,springer
2011-01-01,1,7,0,0,1,1,2,3,springer
2011-01-01,1,8,0,0,1,1,7,8,springer
2011-01-01,1,9,0,0,1,8,6,14,springer
2011-01-01,1,10,0,0,1,12,24,36,springer
2011-01-01,1,11,0,0,1,26,30,56,springer
2011-01-01,1,12,0,0,1,29,55,84,springer
2011-01-01,1,13,0,0,2,47,47,94,springer
2011-01-01,1,14,0,0,2,35,71,106,springer
2011-01-01,1,15,0,0,2,40,70,110,springer
2011-01-01,1,16,0,0,2,41,52,93,springer
2011-01-01,1,17,0,0,2,15,52,67,springer
2011-01-01,1,18,0,0,3,9,26,35,springer
2011-01-01,1,19,0,0,3,6,31,37,springer
2011-01-01,1,20,0,0,2,11,25,36,springer
2011-01-01,1,21,0,0,2,3,31,34,springer
2011-01-01,1,22,0,0,2,11,17,28,springer
2011-01-01,1,23,0,0,2,15,24,39,springer
2011-01-02,1,0,0,0,2,4,13,17,springer
2011-01-02,1,1,0,0,2,1,16,17,springer
2011-01-02,1,2,0,0,2,1,8,9,springer
2011-01-02,1,3,0,0,2,2,4,6,springer
2011-01-02,1,4,0,0,2,2,1,3,springer
2011-01-02,1,6,0,0,3,0,2,2,springer
2011-01-02,1,7,0,0,2,0,1,1,springer
2011-01-02,1,8,0,0,3,0,8,8,springer
2011-01-02,1,9,0,0,2,1,19,20,springer
2011-01-02,1,10,0,0,2,7,46,53,springer
2011-01-02,1,11,0,0,2,16,54,70,springer
2011-01-02,1,12,0,0,2,20,73,93,springer
2011-01-02,1,13,0,0,2,11,64,75,springer
2011-01-02,1,14,0,0,3,4,55,59,springer
2011-01-02,1,15,0,0,3,19,55,74,springer
2011-01-02,1,16,0,0,3,9,67,76,springer
2011-01-02,1,17,0,0,1,7,58,65,springer
2011-01-02,1,18,0,0,2,10,43,53,springer
2011-01-02,1,19,0,0,1,1,29,30,springer
2011-01-02,1,20,0,0,1,5,17,22,springer
2011-01-02,1,21,0,0,1,11,20,31,springer
2011-01-02,1,22,0,0,1,0,9,9,springer
2011-01-02,1,23,0,0,1,0,8,8,springer
2011-01-03,1,0,0,1,1,0,5,5,springer
2011-01-03,1,1,0,1,1,0,2,2,springer
2011-01-03,1,4,0,1,1,0,1,1,springer
2011-01-03,1,5,0,1,1,0,3,3,springer
2011-01-03,1,6,0,1,1,0,30,30,springer
2011-01-03,1,7,0,1,1,1,63,64,springer
2011-01-03,1,8,0,1,1,1,153,154,springer
2011-01-03,1,9,0,1,1,7,81,88,springer
2011-01-03,1,10,0,1,1,11,33,44,springer
2011-01-03,1,11,0,1,1,10,41,51,springer
2011-01-03,1,12,0,1,1,13,48,61,springer
2011-01-03,1,13,0,1,1,8,53,61,springer
2011-01-03,1,14,0,1,1,11,66,77,springer
2011-01-03,1,15,0,1,1,14,58,72,springer
2011-01-03,1,16,0,1,1,9,67,76,springer
2011-01-03,1,17,0,1,1,11,146,157,springer
2011-01-03,1,18,0,1,1,9,148,157,springer
2011-01-03,1,19,0,1,1,8,102,110,springer
2011-01-03,1,20,0,1,1,3,49,52,springer
2011-01-03,1,21,0,1,1,3,49,52,springer
2011-01-03,1,22,0,1,1,0,20,20,springer
2011-01-03,1,23,0,1,1,1,11,12,springer
2011-01-04,1,0,0,1,1,0,5,5,springer
2011-01-04,1,1,0,1,1,0,2,2,springer
2011-01-04,1,2,0,1,1,0,1,1,springer
2011-01-04,1,4,0,1,1,0,2,2,springer
2011-01-04,1,5,0,1,1,0,4,4,springer
2011-01-04,1,6,0,1,1,0,36,36,springer
2011-01-04,1,7,0,1,1,2,92,94,springer
2011-01-04,1,8,0,1,1,2,177,179,springer
2011-01-04,1,9,0,1,1,2,98,100,springer
2011-01-04,1,10,0,1,2,5,37,42,springer
2011-01-04,1,11,0,1,1,7,50,57,springer
2011-01-04,1,12,0,1,1,12,66,78,springer
2011-01-04,1,13,0,1,1,18,79,97,springer
2011-01-04,1,14,0,1,1,9,54,63,springer
2011-01-04,1,15,0,1,1,17,48,65,springer
2011-01-04,1,16,0,1,1,15,68,83,springer
2011-01-04,1,17,0,1,1,10,202,212,springer
2011-01-04,1,18,0,1,1,3,179,182,springer
2011-01-04,1,19,0,1,1,2,110,112,springer
2011-01-04,1,20,0,1,1,1,53,54,springer
2011-01-04,1,21,0,1,1,0,48,48,springer
2011-01-04,1,22,0,1,1,1,34,35,springer
2011-01-04,1,23,0,1,1,2,9,11,springer
2011-01-05,1,0,0,1,1,0,6,6,springer
2011-01-05,1,1,0,1,1,0,6,6,springer
2011-01-05,1,2,0,1,1,0,2,2,springer
2011-01-05,1,4,0,1,1,0,2,2,springer
2011-01-05,1,5,0,1,1,0,3,3,springer
2011-01-05,1,6,0,1,1,0,33,33,springer
2011-01-05,1,7,0,1,1,1,87,88,springer
2011-01-05,1,8,0,1,1,3,192,195,springer
2011-01-05,1,9,0,1,1,6,109,115,springer
2011-01-05,1,10,0,1,1,4,53,57,springer
2011-01-05,1,11,0,1,1,12,34,46,springer
2011-01-05,1,12,0,1,1,5,74,79,springer
2011-01-05,1,13,0,1,1,6,65,71,springer
2011-01-05,1,14,0,1,1,10,52,62,springer
2011-01-05,1,15,0,1,1,7,55,62,springer
2011-01-05,1,16,0,1,1,4,85,89,springer
2011-01-05,1,17,0,1,1,4,186,190,springer
2011-01-05,1,18,0,1,1,3,166,169,springer
2011-01-05,1,19,0,1,1,5,127,132,springer
2011-01-05,1,20,0,1,1,7,82,89,springer
2011-01-05,1,21,0,1,1,3,40,43,springer
2011-01-05,1,22,0,1,1,1,41,42,springer
2011-01-05,1,23,0,1,1,1,18,19,springer
2011-01-06,1,0,0,1,1,0,11,11,springer
2011-01-06,1,1,0,1,1,0,4,4,springer
2011-01-06,1,2,0,1,1,0,2,2,springer
2011-01-06,1,4,0,1,2,0,1,1,springer
2011-01-06,1,5,0,1,2,0,4,4,springer
2011-01-06,1,6,0,1,2,0,36,36,springer
2011-01-06,1,7,0,1,2,0,95,95,springer
2011-01-06,1,8,0,1,1,3,216,219,springer
2011-01-06,1,9,0,1,2,6,116,122,springer
2011-01-06,1,10,0,1,1,3,42,45,springer
